"","OR","p","sig"
"(Intercept)","0.05 (0.03-0.07)","6.93919861940824e-45","***"
"Psych_Hx","4.35 (3.45-5.5)","5.48131460262448e-35","***"
"Covid_School","1.4 (1.13-1.73)","0.00176191120351544","**"
"Covid_Conflicts","1.58 (1.33-1.88)","2.38431383291598e-07","***"
"Covid_Leisure","1.04 (1-1.08)","0.0265787736891515","*"
"Covid_Necessities","1.07 (1.03-1.11)","0.000524625897946434","***"
"Covid_vulnerability","1.34 (1.22-1.48)","1.83915540563798e-09","***"
"Unrest_Contact","1.06 (1-1.12)","0.0436282453146288","*"
"Unrest_Violence","1.16 (1.05-1.28)","0.00444109828519752","**"
"Unrest_Transport","0.69 (0.58-0.83)","6.92098091423857e-05","***"
"Unrest_Leisure","1.27 (1.06-1.52)","0.0102097204319145","*"
"Unrest_MedAppt","1.58 (1.06-2.36)","0.0247631106260831","*"
"Unrest_Mistrust","1.46 (1.22-1.74)","3.44381263354382e-05","***"
"School_2","1.22 (1.01-1.48)","0.0434646487740302","*"
"School_5","0.85 (0.67-1.07)","0.155660702840692",""
