"","OR","p"
"Var","OR","p"
"Gender_0","1",NA
"Gender_1","0.9 (0.8-1)","0.159"
"Age","1.22 (1.1-1.36)","0"
"Degree_40","1",NA
"Degree_20","1","0.828"
"Degree_30","0.3 (0-1.19614387903726e+27)","0.968"
"Degree_31","1","0.782"
"Degree_32","1","0.178"
"Degree_42","664.1 (0-1.07992442005344e+141)","0.968"
"Degree_43","1","0.94"
"Degree_44","1","0.943"
"Degree_88","1","0.543"
"Year","1.14 (1.08-1.21)","0"
"District_16","1",NA
"District_1","1","0.688"
"District_2","1","0.319"
"District_3","1","0.895"
"District_4","1","0.346"
"District_5","1","0.309"
"District_6","1","0.502"
"District_7","1","0.988"
"District_8","1","0.708"
"District_9","1","0.396"
"District_10","1","0.384"
"District_11","1","0.242"
"District_12","1.1 (1-1.2)","0.251"
"District_13","0.9 (0.8-1.1)","0.281"
"District_14","1","0.766"
"District_15","0.7 (0.5-1.1)","0.171"
"District_17","1","0.992"
"District_18","1","0.874"
"E_1_PsychHx_0","1",NA
"E_1_PsychHx_1","3.2 (2.6-3.9)","0"
"C_1_0","1",NA
"C_1_1","1.2 (1-1.4)","0.048"
"C_1_2","1","0.566"
"C_1_3","1.9 (0.9-3.9)","0.092"
"D_1_occu_0","1",NA
"D_1_occu_1","1.3 (1.1-1.6)","0"
"D_1_living_0","1",NA
"D_1_living_1","1.2 (1-1.4)","0.02"
"D_1_medical_0","1",NA
"D_1_medical_1","1.6 (1.2-2.1)","0.001"
"D_1_school_0","1",NA
"D_1_school_1","1.5 (1.2-1.8)","0"
"D_2_SocGather","1.12 (1.08-1.16)","0"
"D_3_Leisure","1.09 (1.06-1.13)","0"
"D_4_Needs","1.15 (1.11-1.19)","0"
"D_5_PersonalPPE","1.12 (1.09-1.16)","0"
"E_2_a_Vuln","1.7 (1.56-1.86)","0"
"E_2_b_Srsness","1.06 (1.02-1.09)","0"
"F_1","1.38 (1.31-1.45)","0"
"F_2_Violence","1.62 (1.48-1.77)","0"
"F_3_b_i_Transport_0","1",NA
"F_3_b_i_Transport_1","0.7 (0.6-0.9)","0"
"F_3_b_i_MeetFrdFam_0","1",NA
"F_3_b_i_MeetFrdFam_1","1.2 (1.1-1.4)","0.009"
"F_3_b_i_Leisure_0","1",NA
"F_3_b_i_Leisure_1","1.3 (1.2-1.6)","0"
"F_3_b_i_MedAppt_0","1",NA
"F_3_b_i_MedAppt_1","2.3 (1.6-3.3)","0"
"F_3_b_i_Occu_0","1",NA
"F_3_b_i_Occu_1","1.4 (1.2-1.7)","0"
"F_3_b_ii_Phy_0","1",NA
"F_3_b_ii_Phy_1","2.4 (2-2.8)","0"
