"","OR","p"
"Var","OR","p"
"Gender_0","1",NA
"Gender_1","0.8 (0.7-1)","0.014"
"Age","1 (0.99-1.02)","0.696"
"Degree_2","1",NA
"Degree_1","1.1 (0.8-1.4)","0.693"
"Degree_3","0.9 (0.8-1.2)","0.588"
"School_1","1",NA
"School_2","0.9 (0.7-1.3)","0.701"
"School_3","0.9 (0.7-1)","0.129"
"School_4","1","0.441"
"School_5","0.9 (0.8-1)","0.002"
"School_6","1","0.965"
"School_7","1","0.258"
"School_8","0.9 (0.9-1)","0.061"
"School_9","0.9 (0.8-1)","0.003"
"School_10","0.9 (0.9-1)","0.13"
"School_11","1","0.821"
"Psych_Hx_0","1",NA
"Psych_Hx_1","4.3 (3.4-5.5)","0"
"Covid_Status","1.09 (0.98-1.22)","0.114"
"Covid_Occu_0","1",NA
"Covid_Occu_1","1.4 (1.2-1.6)","0"
"Covid_Liv_env_0","1",NA
"Covid_Liv_env_1","1.1 (0.9-1.3)","0.433"
"Covid_MedAppt_0","1",NA
"Covid_MedAppt_1","1.5 (1.2-2)","0.003"
"Covid_School_0","1",NA
"Covid_School_1","1.7 (1.5-2.1)","0"
"Covid_Conflicts_0","1",NA
"Covid_Conflicts_1","2.3 (2-2.7)","0"
"Covid_SocGather","1.11 (1.07-1.14)","0"
"Covid_Leisure","1.08 (1.05-1.11)","0"
"Covid_Necessities","1.12 (1.08-1.15)","0"
"Covid_PPE","1.09 (1.06-1.12)","0"
"Covid_vulnerability","1.56 (1.44-1.7)","0"
"Covid_threat","1.01 (0.98-1.04)","0.695"
"Unrest_Contact","1.24 (1.18-1.3)","0"
"Unrest_Violence","1.37 (1.26-1.49)","0"
"Unrest_Transport_0","1",NA
"Unrest_Transport_1","0.7 (0.6-0.8)","0"
"Unrest_SocGather_0","1",NA
"Unrest_SocGather_1","1.3 (1.1-1.5)","0.002"
"Unrest_Leisure_0","1",NA
"Unrest_Leisure_1","1.3 (1.1-1.5)","0.001"
"Unrest_MedAppt_0","1",NA
"Unrest_MedAppt_1","2.2 (1.6-3.2)","0"
"Unrest_Occu_0","1",NA
"Unrest_Occu_1","1.5 (1.2-1.8)","0"
"Unrest_Phy_0","1",NA
"Unrest_Phy_1","1.8 (1.5-2.1)","0"
"Unrest_Conflict_0","1",NA
"Unrest_Conflict_1","1.7 (1.4-1.9)","0"
"Unrest_Mistrust_0","1",NA
"Unrest_Mistrust_1","2.1 (1.8-2.5)","0"
