"","OR","p","sig"
"(Intercept)","0.07 (0.04-0.11)","3.62026129350057e-28","***"
"Gender","0.85 (0.72-1.02)","0.0750289630102311","."
"Year","1.1 (1.03-1.17)","0.00263847047794118","**"
"E_1_PsychHx","4.07 (3.16-5.24)","1.7389617851078e-27","***"
"D_1_occu","1.21 (1.02-1.43)","0.0265210505502712","*"
"D_1_school","1.58 (1.3-1.91)","3.78515628088153e-06","***"
"D_2_SocGather","1.06 (1.02-1.11)","0.00228999057150227","**"
"D_4_Needs","1.04 (1-1.08)","0.035702851926489","*"
"E_2_a_Vuln","1.39 (1.27-1.53)","2.13013713585787e-12","***"
"F_1","1.1 (1.04-1.17)","0.000649751285841639","***"
"F_2_Violence","1.14 (1.03-1.25)","0.00834941254065103","**"
"F_3_b_i_Transport","0.69 (0.58-0.82)","2.79091916354417e-05","***"
"F_3_b_i_MeetFrdFam","1.15 (0.97-1.36)","0.0977128065961198","."
"F_3_b_i_Occu","1.25 (1.01-1.56)","0.0426143319872111","*"
"F_3_b_ii_Phy","1.24 (1.02-1.51)","0.0349065517952275","*"
"C_1_0","1.14 (0.95-1.35)","0.151274067563274",""
"C_1_2","1.33 (1.02-1.73)","0.0336635358954608","*"
