"","0","1"
"Gender_0","961 (65.78%)","980 (70.05%)"
"Gender_1","500 (34.22%)","419 (29.95%)"
"Age_1","498 (34.09%)","392 (28.02%)"
"Age_2.2","609 (41.68%)","661 (47.25%)"
"Age_2.5","205 (14.03%)","211 (15.08%)"
"Age_2.9","90 (6.16%)","84 (6%)"
"Age_3","43 (2.94%)","44 (3.15%)"
"Age_4","12 (0.82%)","4 (0.29%)"
"Age_5","3 (0.21%)","2 (0.14%)"
"Age_6","1 (0.07%)","1 (0.07%)"
"Degree_20","16 (1.1%)","13 (0.93%)"
"Degree_30","0 (0%)","1 (0.07%)"
"Degree_31","69 (4.72%)","69 (4.93%)"
"Degree_32","55 (3.76%)","46 (3.29%)"
"Degree_40","1052 (72.01%)","1022 (73.05%)"
"Degree_42","0 (0%)","1 (0.07%)"
"Degree_43","146 (9.99%)","140 (10.01%)"
"Degree_44","119 (8.15%)","103 (7.36%)"
"Degree_88","4 (0.27%)","4 (0.29%)"
"Year_0","6 (0.42%)","8 (0.58%)"
"Year_1","579 (40.4%)","395 (28.52%)"
"Year_1.5","1 (0.07%)","0 (0%)"
"Year_2","311 (21.7%)","339 (24.48%)"
"Year_3","277 (19.33%)","338 (24.4%)"
"Year_4","218 (15.21%)","248 (17.91%)"
"Year_5","34 (2.37%)","49 (3.54%)"
"Year_6","4 (0.28%)","7 (0.51%)"
"Year_7","1 (0.07%)","0 (0%)"
"Year_10","1 (0.07%)","0 (0%)"
"Year_16","0 (0%)","1 (0.07%)"
"Year_19","1 (0.07%)","0 (0%)"
"District_1","57 (3.9%)","55 (3.93%)"
"District_2","22 (1.51%)","21 (1.5%)"
"District_3","81 (5.54%)","87 (6.22%)"
"District_4","39 (2.67%)","34 (2.43%)"
"District_5","61 (4.18%)","61 (4.36%)"
"District_6","79 (5.41%)","70 (5%)"
"District_7","115 (7.87%)","118 (8.43%)"
"District_8","85 (5.82%)","86 (6.15%)"
"District_9","123 (8.42%)","122 (8.72%)"
"District_10","75 (5.13%)","65 (4.65%)"
"District_11","60 (4.11%)","61 (4.36%)"
"District_12","94 (6.43%)","84 (6%)"
"District_13","106 (7.26%)","100 (7.15%)"
"District_14","71 (4.86%)","56 (4%)"
"District_15","38 (2.6%)","50 (3.57%)"
"District_16","211 (14.44%)","200 (14.3%)"
"District_17","108 (7.39%)","96 (6.86%)"
"District_18","36 (2.46%)","33 (2.36%)"
"E_1_PsychHx_0","1364 (93.36%)","1069 (76.41%)"
"E_1_PsychHx_1","97 (6.64%)","330 (23.59%)"
"C_1_0","677 (46.34%)","602 (43.03%)"
"C_1_1","613 (41.96%)","622 (44.46%)"
"C_1_2","168 (11.5%)","173 (12.37%)"
"C_1_3","3 (0.21%)","2 (0.14%)"
"D_1_occu_0","906 (62.01%)","760 (54.32%)"
"D_1_occu_1","555 (37.99%)","639 (45.68%)"
"D_1_living_0","1045 (71.53%)","982 (70.19%)"
"D_1_living_1","416 (28.47%)","417 (29.81%)"
"D_1_medical_0","1373 (93.98%)","1274 (91.07%)"
"D_1_medical_1","88 (6.02%)","125 (8.93%)"
"D_1_school_0","415 (28.41%)","260 (18.58%)"
"D_1_school_1","1046 (71.59%)","1139 (81.42%)"
"F_1_0","222 (15.2%)","111 (7.93%)"
"F_1_1","646 (44.22%)","513 (36.67%)"
"F_1_2","150 (10.27%)","162 (11.58%)"
"F_1_3","150 (10.27%)","190 (13.58%)"
"F_1_4","196 (13.42%)","256 (18.3%)"
"F_1_5","97 (6.64%)","167 (11.94%)"
"F_3_b_i_Transport_0","444 (30.39%)","525 (37.53%)"
"F_3_b_i_Transport_1","1017 (69.61%)","874 (62.47%)"
"F_3_b_i_MeetFrdFam_0","752 (51.47%)","640 (45.75%)"
"F_3_b_i_MeetFrdFam_1","709 (48.53%)","759 (54.25%)"
"F_3_b_i_Leisure_0","653 (44.7%)","537 (38.38%)"
"F_3_b_i_Leisure_1","808 (55.3%)","862 (61.62%)"
"F_3_b_i_MedAppt_0","1417 (96.99%)","1308 (93.5%)"
"F_3_b_i_MedAppt_1","44 (3.01%)","91 (6.5%)"
"F_3_b_i_Occu_0","1243 (85.08%)","1109 (79.27%)"
"F_3_b_i_Occu_1","218 (14.92%)","290 (20.73%)"
"F_3_b_ii_Phy_0","1157 (79.19%)","953 (68.12%)"
"F_3_b_ii_Phy_1","304 (20.81%)","446 (31.88%)"
"D_2_SocGather","7.1 (2.23) ","7.54 (2) "
"D_3_Leisure","6.56 (2.61) ","7.07 (2.51) "
"D_4_Needs","2.39 (2.13) ","2.95 (2.41) "
"D_5_PersonalPPE","3.34 (2.47) ","3.88 (2.63) "
"E_2_a_Vuln","2.18 (0.87) ","2.55 (0.95) "
"E_2_b_Srsness","7.42 (2.43) ","7.46 (2.56) "
"F_2_Violence","2.33 (0.86) ","2.57 (0.91) "
